ORDER_DATE,SHIP_VIA_TYPE,PRODUCT,PRODUCT_DESCRIPTION,QUANTITY,TOTAL_SALES,HUB,BRAND,PROD_CAT
2022-10-04,WILL CALL,PRODUCT_1,CAT_1_DES,2.0,56.1,2.0,SH,CAT_1
2022-09-30,WILL CALL,PRODUCT_1,CAT_1_DES,3.0,84.15,2.0,SH,CAT_1
2022-10-11,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,56.1,2.0,SH,CAT_1
2022-10-11,UPS GROUND,PRODUCT_3,CAT_1_DES,10.0,391.2,2.0,SH,CAT_1
2022-10-12,WILL CALL,PRODUCT_2,CAT_2_DES,5.0,318.65,2.0,SH,CAT_2
2022-10-12,UPS GROUND,PRODUCT_3,CAT_1_DES,4.0,123.88,2.0,SH,CAT_1
2022-10-12,UPS GROUND,PRODUCT_1,CAT_1_DES,4.0,138.28,2.0,SH,CAT_1
2022-10-12,UPS GROUND,PRODUCT_2,CAT_2_DES,2.0,127.46,2.0,SH,CAT_2
2022-10-13,WILL CALL,PRODUCT_3,CAT_1_DES,1.0,34.57,2.0,SH,CAT_1
2022-10-10,WILL CALL,PRODUCT_3,CAT_1_DES,6.0,207.42,2.0,SH,CAT_1
2022-10-10,WILL CALL,PRODUCT_1,CAT_1_DES,2.0,69.14,2.0,SH,CAT_1
2022-10-11,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,61.94,2.0,SH,CAT_1
2022-10-04,WILL CALL,PRODUCT_8,CAT_6_DES,2.0,36.9,2.0,SH,CAT_6
2022-10-12,UPS GROUND,PRODUCT_10,CAT_8_DES,1.0,8.17,2.0,SH,CAT_8
2022-10-12,WILL CALL,PRODUCT_2,CAT_2_DES,2.0,53.46,2.0,SH,CAT_2
2022-10-12,UPS GROUND,PRODUCT_3,CAT_1_DES,2.0,0.0,2.0,SH,CAT_1
2022-10-11,WILL CALL,PRODUCT_2,CAT_2_DES,2.0,25.1,2.0,SH,CAT_2
2022-10-13,UPS GROUND,PRODUCT_2,CAT_2_DES,5.0,180.1,2.0,SH,CAT_2
2022-10-13,WILL CALL,PRODUCT_7,CAT_5_DES,2.0,5.8,2.0,SH,CAT_5
2022-10-13,UPS GROUND,PRODUCT_3,CAT_1_DES,4.0,0.0,2.0,SH,CAT_1
2022-10-10,UPS GROUND,PRODUCT_1,CAT_1_DES,2.0,69.14,2.0,SH,CAT_1
2022-10-14,WILL CALL,PRODUCT_3,CAT_1_DES,4.0,138.28,2.0,SH,CAT_1
2022-10-14,WILL CALL,PRODUCT_1,CAT_1_DES,4.0,138.28,2.0,SH,CAT_1
2022-10-14,UPS GROUND,PRODUCT_3,CAT_1_DES,2.0,78.24,2.0,SH,CAT_1
2022-10-14,UPS GROUND,PRODUCT_3,CAT_1_DES,4.0,156.48,2.0,SH,CAT_1
2022-10-14,UPS GROUND,PRODUCT_5,CAT_3_DES,2.0,76.52,2.0,SH,CAT_3
2022-10-17,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,0.0,2.0,SH,CAT_1
2022-10-14,WILL CALL,PRODUCT_7,CAT_5_DES,1.0,5.79,2.0,SH,CAT_5
2022-10-14,WILL CALL,PRODUCT_10,CAT_8_DES,2.0,16.34,2.0,SH,CAT_8
2022-10-11,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,69.14,2.0,SH,CAT_1
2022-10-16,WILL CALL,PRODUCT_1,CAT_1_DES,2.0,78.24,2.0,SH,CAT_1
2022-10-16,UPS GROUND,PRODUCT_1,CAT_1_DES,3.0,103.71,2.0,SH,CAT_1
2022-10-16,UPS GROUND,PRODUCT_3,CAT_1_DES,5.0,172.85,2.0,SH,CAT_1
2022-10-12,WILL CALL,PRODUCT_10,CAT_8_DES,4.0,37.0,2.0,SH,CAT_8
2022-10-12,WILL CALL,PRODUCT_3,CAT_1_DES,4.0,123.88,2.0,SH,CAT_1
2022-10-03,WILL CALL,PRODUCT_8,CAT_6_DES,2.0,36.9,2.0,SH,CAT_6
2022-10-14,WILL CALL,PRODUCT_7,CAT_5_DES,2.0,5.8,2.0,SH,CAT_5
2022-10-17,UPS GROUND,PRODUCT_3,CAT_1_DES,2.0,45.06,2.0,SH,CAT_1
2022-10-17,WILL CALL,PRODUCT_1,CAT_1_DES,2.0,78.24,2.0,SH,CAT_1
2022-10-17,WILL CALL,PRODUCT_10,CAT_8_DES,2.0,25.1,2.0,SH,CAT_8
2022-10-06,UPS GROUND,PRODUCT_15,CAT_10_DES,20.0,116.6,2.0,SH,CAT_10
2022-10-18,WILL CALL,PRODUCT_3,CAT_1_DES,4.0,156.48,2.0,SH,CAT_1
2022-10-14,WILL CALL,PRODUCT_2,CAT_2_DES,1.0,31.87,2.0,SH,CAT_2
2022-10-18,WILL CALL,PRODUCT_5,CAT_3_DES,2.0,76.52,2.0,SH,CAT_3
2022-10-14,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,78.24,2.0,SH,CAT_1
2022-10-11,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,78.24,2.0,SH,CAT_1
2022-10-17,UPS GROUND,PRODUCT_3,CAT_1_DES,4.0,90.12,2.0,SH,CAT_1
2022-10-18,UPS GROUND,PRODUCT_10,CAT_8_DES,1.0,8.17,2.0,SH,CAT_8
2023-01-11,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
2023-01-13,WILL CALL,PRODUCT_1,CAT_1_DES,3.0,75.75,2.0,SH,CAT_1
2023-01-13,UPS GROUND,PRODUCT_1,CAT_1_DES,1.0,37.99,2.0,SH,CAT_1
2023-01-16,UPS GROUND,PRODUCT_10,CAT_8_DES,2.0,10.32,2.0,SH,CAT_8
2023-01-12,WILL CALL,PRODUCT_7,CAT_5_DES,5.0,24.0,2.0,SH,CAT_5
2023-01-16,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
2023-01-03,WILL CALL,PRODUCT_1,CAT_1_DES,16.0,537.44,2.0,SH,CAT_1
2023-01-16,WILL CALL,PRODUCT_3,CAT_1_DES,1.0,27.68,2.0,SH,CAT_1
2023-01-16,WILL CALL,PRODUCT_7,CAT_5_DES,2.0,5.38,2.0,SH,CAT_5
2023-01-16,WILL CALL,PRODUCT_7,CAT_5_DES,2.0,5.38,2.0,SH,CAT_5
2023-01-16,UPS GROUND,PRODUCT_1,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
2023-01-16,UPS GROUND,PRODUCT_10,CAT_8_DES,2.0,25.98,2.0,SH,CAT_8
2023-01-16,UPS GROUND,PRODUCT_2,CAT_2_DES,2.0,66.28,2.0,SH,CAT_2
2023-01-05,WILL CALL,PRODUCT_7,CAT_5_DES,4.0,22.6,2.0,SH,CAT_5
2023-01-17,WILL CALL,PRODUCT_3,CAT_1_DES,10.0,276.8,2.0,SH,CAT_1
2023-01-17,WILL CALL,PRODUCT_1,CAT_1_DES,10.0,276.8,2.0,SH,CAT_1
2023-01-16,UPS GROUND,PRODUCT_3,CAT_1_DES,4.0,122.48,2.0,SH,CAT_1
2023-01-17,UPS GROUND,PRODUCT_11,CAT_9_DES,2.0,149.92,2.0,SH,CAT_9
2023-01-17,UPS GROUND,PRODUCT_2,CAT_2_DES,2.0,72.56,2.0,SH,CAT_2
2022-12-28,UPS GROUND,PRODUCT_2,CAT_2_DES,3.0,133.56,2.0,SH,CAT_2
2023-01-16,UPS GROUND,PRODUCT_12,CAT_5_DES,2.0,12.04,2.0,SH,CAT_5
2023-01-16,WILL CALL,PRODUCT_1,CAT_1_DES,2.0,75.98,2.0,SH,CAT_1
2023-01-12,WILL CALL,PRODUCT_8,CAT_6_DES,1.0,18.29,2.0,SH,CAT_6
2023-01-13,WILL CALL,PRODUCT_8,CAT_6_DES,2.0,36.58,2.0,SH,CAT_6
2023-01-18,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
2023-01-17,UPS GROUND,PRODUCT_3,CAT_1_DES,2.0,75.98,2.0,SH,CAT_1
2023-01-17,UPS GROUND,PRODUCT_8,CAT_6_DES,2.0,36.58,2.0,SH,CAT_6
2023-01-06,WILL CALL,PRODUCT_2,CAT_2_DES,4.0,145.12,2.0,SH,CAT_2
2023-01-17,WILL CALL,PRODUCT_3,CAT_1_DES,16.0,537.44,2.0,SH,CAT_1
2023-01-18,UPS GROUND,PRODUCT_2,CAT_2_DES,2.0,53.46,2.0,SH,CAT_2
2023-01-18,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,55.36,2.0,SH,CAT_1
2023-01-18,UPS GROUND,PRODUCT_3,CAT_1_DES,4.0,110.72,2.0,SH,CAT_1
2023-01-16,WILL CALL,PRODUCT_10,CAT_8_DES,1.0,12.99,2.0,SH,CAT_8
2023-01-16,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
2023-01-18,WILL CALL,PRODUCT_5,CAT_3_DES,6.0,226.98,2.0,SH,CAT_3
2023-01-17,UPS GROUND,PRODUCT_2,CAT_2_DES,2.0,127.98,2.0,SH,CAT_2
2023-01-18,UPS GROUND,PRODUCT_3,CAT_1_DES,50.0,1679.5,2.0,SH,CAT_1
2023-01-18,UPS GROUND,PRODUCT_3,CAT_1_DES,2.0,61.24,2.0,SH,CAT_1
2023-01-17,WILL CALL,PRODUCT_8,CAT_6_DES,2.0,41.54,2.0,SH,CAT_6
2023-01-18,UPS GROUND,PRODUCT_2,CAT_2_DES,3.0,191.97,2.0,SH,CAT_2
2023-01-10,WILL CALL,PRODUCT_3,CAT_1_DES,100.0,2703.0,2.0,SH,CAT_1
2023-01-19,WILL CALL,PRODUCT_3,CAT_1_DES,4.0,110.72,2.0,SH,CAT_1
2023-01-19,WILL CALL,PRODUCT_7,CAT_5_DES,1.0,7.99,2.0,SH,CAT_5
2023-01-19,WILL CALL,PRODUCT_1,CAT_1_DES,2.0,55.36,2.0,SH,CAT_1
2023-01-18,WILL CALL,PRODUCT_2,CAT_2_DES,2.0,25.1,2.0,SH,CAT_2
2023-01-18,WILL CALL,PRODUCT_2,CAT_2_DES,2.0,25.1,2.0,SH,CAT_2
2023-01-18,WILL CALL,PRODUCT_1,CAT_1_DES,3.0,83.04,2.0,SH,CAT_1
2023-01-19,WILL CALL,PRODUCT_1,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
2023-01-19,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
2023-01-19,UPS GROUND,PRODUCT_7,CAT_5_DES,5.0,28.25,2.0,SH,CAT_5
2023-01-19,WILL CALL,PRODUCT_3,CAT_1_DES,4.0,151.96,2.0,SH,CAT_1
2023-01-19,WILL CALL,PRODUCT_1,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
2023-01-19,UPS GROUND,PRODUCT_8,CAT_6_DES,4.0,73.16,2.0,SH,CAT_6
2023-01-20,WILL CALL,PRODUCT_12,CAT_5_DES,10.0,60.2,2.0,SH,CAT_5
2023-01-20,UPS GROUND,PRODUCT_3,CAT_1_DES,2.0,0.0,2.0,SH,CAT_1
2023-01-20,UPS GROUND,PRODUCT_10,CAT_8_DES,2.0,16.2,2.0,SH,CAT_8
2023-01-20,WILL CALL,PRODUCT_7,CAT_5_DES,2.0,9.6,2.0,SH,CAT_5
2023-01-23,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,61.24,2.0,SH,CAT_1
2023-01-21,WILL CALL,PRODUCT_8,CAT_6_DES,1.0,18.29,2.0,SH,CAT_6
2023-01-23,WILL CALL,PRODUCT_2,CAT_2_DES,3.0,191.97,2.0,SH,CAT_2
2023-01-21,UPS GROUND,PRODUCT_3,CAT_1_DES,4.0,134.36,2.0,SH,CAT_1
2023-01-23,WILL CALL,PRODUCT_11,CAT_9_DES,2.0,173.98,2.0,SH,CAT_9
2023-01-23,WILL CALL,PRODUCT_8,CAT_6_DES,4.0,73.16,2.0,SH,CAT_6
2023-01-13,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,55.36,2.0,SH,CAT_1
2023-01-19,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,61.24,2.0,SH,CAT_1
2023-01-22,WILL CALL,PRODUCT_5,CAT_3_DES,2.0,84.68,2.0,SH,CAT_3
2023-01-23,WILL CALL,PRODUCT_1,CAT_1_DES,2.0,55.36,2.0,SH,CAT_1
2023-01-23,WILL CALL,PRODUCT_8,CAT_6_DES,3.0,54.87,2.0,SH,CAT_6
2023-01-23,WILL CALL,PRODUCT_1,CAT_1_DES,3.0,83.04,2.0,SH,CAT_1
2023-01-23,WILL CALL,PRODUCT_2,CAT_2_DES,2.0,66.28,2.0,SH,CAT_2
2023-01-09,WILL CALL,PRODUCT_10,CAT_8_DES,2.0,25.98,2.0,SH,CAT_8
2023-01-19,UPS GROUND,PRODUCT_3,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
2023-01-21,WILL CALL,PRODUCT_8,CAT_6_DES,1.0,18.29,2.0,SH,CAT_6
2023-01-20,WILL CALL,PRODUCT_10,CAT_8_DES,2.0,25.98,2.0,SH,CAT_8
2023-01-23,WILL CALL,PRODUCT_2,CAT_2_DES,2.0,25.1,2.0,SH,CAT_2
2023-01-24,UPS GROUND,PRODUCT_10,CAT_8_DES,2.0,16.2,2.0,SH,CAT_8
2023-01-24,WILL CALL,PRODUCT_3,CAT_1_DES,4.0,151.96,2.0,SH,CAT_1
2023-01-24,UPS GROUND,PRODUCT_1,CAT_1_DES,4.0,134.36,2.0,SH,CAT_1
2023-01-23,WILL CALL,PRODUCT_7,CAT_5_DES,2.0,9.6,2.0,SH,CAT_5
2023-01-24,UPS GROUND,PRODUCT_3,CAT_1_DES,6.0,183.72,2.0,SH,CAT_1
2023-01-24,UPS GROUND,PRODUCT_11,CAT_9_DES,1.0,86.99,2.0,SH,CAT_9
2023-01-24,WILL CALL,PRODUCT_8,CAT_6_DES,4.0,95.32,2.0,SH,CAT_6
2023-01-25,WILL CALL,PRODUCT_1,CAT_1_DES,2.0,55.36,2.0,SH,CAT_1
2023-01-12,WILL CALL,PRODUCT_2,CAT_2_DES,1.0,33.14,2.0,SH,CAT_2
2023-01-24,WILL CALL,PRODUCT_2,CAT_2_DES,2.0,25.1,2.0,SH,CAT_2
2023-01-24,WILL CALL,PRODUCT_7,CAT_5_DES,2.0,5.38,2.0,SH,CAT_5
2023-01-25,UPS GROUND,PRODUCT_8,CAT_6_DES,1.0,18.29,2.0,SH,CAT_6
2023-01-24,WILL CALL,PRODUCT_7,CAT_5_DES,10.0,48.0,2.0,SH,CAT_5
2023-01-25,UPS GROUND,PRODUCT_2,CAT_2_DES,4.0,145.12,2.0,SH,CAT_2
2023-01-10,WILL CALL,PRODUCT_8,CAT_6_DES,3.0,62.31,2.0,SH,CAT_6
2023-01-13,WILL CALL,PRODUCT_8,CAT_6_DES,2.0,41.54,2.0,SH,CAT_6
2023-01-20,WILL CALL,PRODUCT_2,CAT_2_DES,1.0,26.73,2.0,SH,CAT_2
2023-01-20,WILL CALL,PRODUCT_8,CAT_6_DES,1.0,16.0,2.0,SH,CAT_6
2023-01-26,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,75.98,2.0,SH,CAT_1
2023-01-25,WILL CALL,PRODUCT_8,CAT_6_DES,2.0,41.54,2.0,SH,CAT_6
2023-01-26,WILL CALL,PRODUCT_1,CAT_1_DES,28.0,940.52,2.0,SH,CAT_1
2023-01-19,WILL CALL,PRODUCT_4,CAT_3_DES,4.0,218.16,2.0,SH,CAT_3
2023-01-26,WILL CALL,PRODUCT_2,CAT_2_DES,2.0,127.98,2.0,SH,CAT_2
2023-01-25,UPS GROUND,PRODUCT_7,CAT_5_DES,6.0,28.8,2.0,SH,CAT_5
2023-01-19,WILL CALL,PRODUCT_2,CAT_2_DES,4.0,132.56,2.0,SH,CAT_2
2023-01-25,UPS GROUND,PRODUCT_1,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
